$1500,1
1.7,1
1989,1
1991,1
2016.,1
3,2
54,1
6,1
a,43
abandoned,1
about,5
according,2
accused,2
across,1
adeles,1
"advice,",1
after,2
again,1
against,1
age,2
age.,1
aging.,1
agreed,1
airports,1
album,3
alien,1
alive,1
all,1
alley.,1
allows,1
also,3
amazing,1
amount,3
an,6
and,41
"animals,",1
another,4
another.,1
answer,1
any,1
anything,1
applied,1
are,6
areas,1
around,3
arrested,1
as,13
asks,1
asteroids,1
at,10
avenue,1
away,4
back,2
"back,",1
back.,1
backache.,1
backdrop,1
backing,1
backup,1
bad,1
bag,1
bangkok,1
banquet.,1
be,5
"beautiful,",1
beauty,1
became,1
bed,1
bedroom,1
been,3
beginnings,1
beliefs,1
below.,1
best,2
betrayed,1
between,4
biggest,1
billion,1
blog,1
blue,1
both,1
bought,1
brutally,1
buried,1
burnt,1
business,1
but,6
by,6
by.,1
cabinet,1
called,2
came,2
car,3
care,1
career.,1
carry,1
carrying,1
cd,1
celebrates,1
certain,1
changing,1
child.,1
christians,1
cities,1
clearance,1
close,1
clothes,1
cloud,1
coast.,1
coming,1
committing,1
common,1
companys,1
compliant.,1
condemned,1
confirmed,1
connected,1
consider,2
considerable,1
considered,1
construction,1
continued,1
conventional,1
conversation,1
copies,1
copy,2
copyright,1
corpse,1
corridor,1
could,4
countries,1
country,1
country.,1
countryside,1
couple,1
courage.,1
covered,1
craft,1
create,1
creating,1
creation,1
creations,1
cricket,1
crime,1
criminal,1
crouched,1
cultures,1
daring,1
darkness,1
dawn,1
day,3
dealer,1
death.,1
december,2
demonstrating,1
describes,1
describing,1
designers,2
designs,1
desired,1
despite,3
details,2
device.,1
devices,2
"devices,",1
devise,1
did,1
different,1
dining,1
diplomacy,1
disagreement,1
discussed,1
do,2
doctor,2
doctors,1
does,1
dollars,1
dont,1
doors,1
doors.,1
double,1
down,2
due,1
during,1
dvd,1
ease,1
echoed,1
eddie,1
effects,1
eillis,1
electronically-powered,1
else.,1
end,1
engine.,1
entered,1
especially,1
european,1
event,1
event.,1
every,1
evolved,1
exception,1
exhaustive,1
exhibition,2
expected,1
experience,1
extended,1
extension,1
face,2
faced,1
fact,2
"fact,",1
factory,1
famous,2
fashion,4
father,2
feature,1
february,1
feels,1
fellow,1
fiance,1
fields,1
file,1
film,1
finance,1
financing,1
first,4
"first,",1
five,2
folk,1
followed,1
"food,",1
for,16
forget,1
forty,1
forward.,1
found,3
four,1
frames,1
friend,1
from,7
front,1
furniture,1
future,1
gadgets,1
game,1
garden,1
garments,1
gathering,1
gaulter.,1
generation,1
germany,1
gesturing,1
get,1
get.,1
girl,2
give,1
given,3
glacial,1
going,1
gold,1
got,1
government,3
grabbed,1
great,2
grew,1
grip,1
growing,1
guaranteed,1
had,2
happened.,1
happens,1
happy,1
has,8
have,7
he,8
head,1
health,1
hell,1
help,1
her,12
her.,2
here,1
herself,1
hi-speed,1
hid,1
highest,1
him,3
his,8
history,1
history.,1
hitting,1
home,2
home.,1
"house,",1
how,6
human,1
i,4
ice,1
identity,1
if,1
illegal,1
imagined,1
improved,1
in,28
incite,1
includes,2
including,2
increase,2
increased.,1
increasingly,1
india,1
indian,1
individuals,1
industry,1
information,2
informed,1
inspection.,1
interact,1
interest,1
interest.,1
interview,1
into,3
into.,1
intrigue,1
"investigations,",1
involve,1
involved,1
ion,1
ireland,3
irritate,1
is,21
island,1
it,11
items,1
its,1
japanese,1
jean,1
job,3
jobs,1
joint,1
journey,1
just,1
keeping,1
kind,1
know,2
knowledge,1
known,1
laid,1
lanka.,1
large,4
largest,1
last,2
later,1
latest,1
layers.,1
leader,2
learnt,1
led,1
left,2
legal,1
legally,1
life,4
limited,1
line,1
"line,",3
line.,1
lines,1
linked,1
live,2
long,1
long-standing,1
longer?,1
look,1
looked,1
looking,1
looks,1
loves,1
lovingly,1
loyal,1
major,1
make,4
man,6
"man,",1
manner.,1
mans,1
many,3
married,1
martyrs,1
match,1
me,1
me.,1
meg,1
metal,1
military,1
million,2
minister,1
mistakes,1
mobile,2
money,1
more,1
more.,1
most,2
mother,1
mountains,1
move,1
multiple,1
music,3
musical,1
must,2
my,1
nasa,1
nearest,1
need,2
needs,1
nelson,1
nero,1
neutral,1
never,1
new,1
next,1
night,3
night.,2
nineteen,1
north,1
not,4
now,1
now.,2
number,2
"nun,",1
"object,",1
obtain,1
of,48
off,1
officer,1
often,1
old,2
old.,1
oldest,1
on,4
once,2
one,6
"ones,",1
online,1
only,1
opened,1
or,6
orange,1
order,1
ordered,1
organizations,1
others,1
out,4
over,5
own,3
paid,1
pakistan,2
papers,1
part,1
passer-by,1
passing,1
paul,1
paved,1
pay,1
pensioners,1
people,3
percent,1
period,1
persecution,1
person,2
photos,1
pieces,1
pink,1
pitch,1
place,1
placed,1
places,1
planets.,1
planned,1
plans,1
plastic,1
play,1
"play,",1
played.,1
poker,1
police,1
possible,1
pot.,1
presence.,1
present,1
previous,1
price,2
price.,1
princess,2
proceedings.,1
processes,1
products.,1
progressively,1
projects,1
prominent,1
prove,1
purchase,1
purple,1
put,2
puzzled,1
question:,1
questioning.,1
rail.,1
ranging,1
ready,1
reason,2
records,1
"refrigerator,",1
regulations.there,1
relate,1
relations.,1
relationships,1
release,1
relevant.at,1
remember,1
representatives.,1
requests,1
"result,",1
retiree,1
right,1
rights,2
rigidly,1
rivalry,1
rock,2
rockets,1
rocks,1
roles,1
room,4
"room,",1
routes,1
rule,1
running,1
ryan,1
said,1
saints.,1
sale,2
sales,1
same,2
sat,1
say,1
says,2
scale,1
scalf.,1
scenic,1
scientists,1
scrappy,1
second,1
see,1
seen,1
sell,1
selling,1
sent,2
series,1
serve,1
set,1
seven,1
seventies,1
shadow,1
she,16
shelley,1
sight,1
signs,1
silence.,1
similarly,1
simple:,1
since,2
single,1
sister,1
sitting,1
six,2
slay,1
slightly,1
small,3
"social,",1
society,1
solar,1
sold,1
some,4
song,1
sons,1
space,2
spacecraft,1
speeding,1
spoon,1
sri,1
stages,1
stars,1
start,1
started,3
states.,1
stir,2
stood,1
stop.,1
stove.,1
stuck,1
styled,1
stylish,1
such,2
suffering,1
sunday,1
surpassing,1
surprisingly,1
sweating,1
swift.,1
system,2
table,1
take,1
taylor,1
technologies,1
technology,1
technology.,2
ten,1
tentatively,1
thailand.,1
than,1
that,15
the,131
their,6
them.,1
then,1
there,5
therefore,1
these,3
they,6
things,1
this,9
"this,",1
thought.,1
thousand,1
threw,1
through,2
time,6
timeline,1
to,49
toes.,1
together,1
told,1
tombs.,1
torches,1
torn,1
total,1
town,1
train,1
trained,1
"trainer,",1
translation.,1
transport,1
travel,1
travelling,1
truth,1
trying,1
turned,2
twenty,1
two,1
ufo,1
uncertainty,1
understand,1
united,1
unknown,1
until,1
up,1
upheavals,1
upheld.,1
uploading,1
use,4
used,1
useful,1
user,2
users,1
uses,1
various,2
veil,1
venue,1
video.,1
village,2
village.,1
visits,1
voice,2
walked,1
wall,1
walls.,1
warrior.,1
was,18
way,1
we,1
week,3
week.,2
well,1
went,1
"went,",1
were,9
what,3
when,9
where,3
which,2
while,1
who,3
why.,1
wild,1
will,7
window,2
wish,1
with,13
withdrawn.,1
within,1
woman,1
wondered,1
wooden,1
work,3
worked.,1
world,1
world.,1
worn,1
would,1
year,2
years,5
years.,1
yellow,1
you,7
"young,",1
your,2
